customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
R_1LFmho6mBajcceh,126,33,673.37,4,4,4,12,Champions
R_1LFqrP3wXLY29vm,125,29,399.63,4,4,3,11,Champions
R_1LH9jGluPc9Ks28,632,2,13.940000000000001,1,1,1,3,Lapsed
R_1LI4sRCOpeUEw4V,548,16,730.5899999999999,1,3,4,8,Loyal
R_1LIGtABfsfoV9eO,320,1,241.98,2,1,2,5,At Risk
R_1LIJDv6NDuvkCi4,153,14,276.71,4,3,2,9,Loyal
R_1LIhFuivD74bKNQ,187,4,96.96000000000001,4,1,1,6,At Risk
R_1LLeEJshq2p2Ej7,239,11,182.39,3,2,2,7,Loyal
R_1LMa9REuvUok05j,176,49,765.83,4,4,4,12,Champions
R_1LMcU7izBtOlnNn,407,17,517.46,1,3,3,7,Loyal
R_1LMuiHUY0gK5lHE,609,6,197.82,1,1,2,4,Lapsed
R_1LMx3Ij1VcN0Cnc,1158,14,418.21,1,3,3,7,Loyal
R_1LRMfvqtCuHQOG4,253,19,727.5699999999999,2,3,4,9,Loyal
R_1LRR1P5IQqdSvIP,179,59,2059.17,4,4,4,12,Champions
R_1LRtdK1XMr1uFCf,321,27,428.26,2,3,3,8,Loyal
R_1LRxmw1v9XlwyZ4,226,16,382.89,3,3,3,9,Loyal
R_1LU3ZUh1C0Ij7PO,138,25,420.02,4,3,3,10,Champions
R_1LUaD6cuon5njXD,416,10,180.1,1,2,2,5,At Risk
R_1LUuuC6VrhpFCm8,371,7,354.42,2,2,3,7,Loyal
R_1LXVb9shLsHRmNV,1668,4,80.46000000000001,1,1,1,3,Lapsed
R_1LXWy9XtgeTLKs3,236,9,2403.1,3,2,4,9,Loyal
R_1LXruw2HNunUocq,248,11,377.28,3,2,3,8,Loyal
R_1LY9mbPmeG2WbfE,165,12,786.3,4,2,4,10,Champions
R_1LYvldXrvEt6Cel,1791,7,120.8,1,2,1,4,Lapsed
R_1LZKI07AWpPDeKE,183,33,190.24,4,4,2,10,Champions
R_1LbUTgaWmOcYHoQ,757,18,300.19,1,3,2,6,At Risk
R_1LcBezsxrOCPoma,167,25,194.47,4,3,2,9,Loyal
R_1LcCULNDVzpY8B5,192,20,403.63,4,3,3,10,Champions
R_1LcHRNTQP5Ht1tg,299,16,361.73,2,3,3,8,Loyal
R_1Lcd7C42dsaZUig,236,40,649.33,3,4,3,10,Champions
R_1LdmaFBhWUcIaF7,251,25,308.82,3,3,3,9,Loyal
R_1LduYCKTqHZAamW,231,7,169.16,3,2,2,7,Loyal
R_1LhFM2BaxIGVUFr,407,13,227.23,1,2,2,5,At Risk
R_1LhfOLPGAesRIV6,1198,2,145.48,1,1,2,4,Lapsed
R_1LhrEPku3icyXBp,1187,2,87.47,1,1,1,3,Lapsed
R_1LiA2fJVDUQ4IXM,626,9,400.99,1,2,3,6,At Risk
R_1LjSgCvVRqzw9aN,189,24,495.66999999999996,4,3,3,10,Champions
R_1Lkg917fX5vUGok,329,8,138.17000000000002,2,2,2,6,At Risk
R_1LoL695ixNZxVpn,324,9,125.67,2,2,2,6,At Risk
R_1LqEf4VXuqbsVzA,385,15,222.77,2,3,2,7,Loyal
R_1LulffFsNbmcr93,350,3,51.92,2,1,1,4,Lapsed
R_1Luv6L4DgyQNKdI,770,2,62.150000000000006,1,1,1,3,Lapsed
R_1Luv7PTSNMEjqFV,202,18,325.37,3,3,3,9,Loyal
R_1LwfsLJ5DG4OwEO,240,25,399.52,3,3,3,9,Loyal
R_1M3AyVBcoK62Enz,1625,1,14.89,1,1,1,3,Lapsed
R_1M3NpvxQQpsbEzI,178,9,78.33,4,2,1,7,Loyal
R_1M5mnTcAVcSRcli,114,28,548.12,4,4,3,11,Champions
R_1MJSWPNY1QR0Q68,158,28,434.21,4,4,3,11,Champions
R_1MMP47rgh3ubRwP,245,17,570.99,3,3,3,9,Loyal
R_1MPUcBEwaqGfQoa,491,5,82.19,1,1,1,3,Lapsed
R_1MQ9xtfsmzwaDML,384,6,125.14,2,1,2,5,At Risk
R_1MQIBxrlXnpRlSN,336,5,393.1,2,1,3,6,At Risk
R_1MQJZk1ALfEkRX3,157,10,109.61,4,2,1,7,Loyal
R_1MR5moHBEzMpL1a,382,3,487.12,2,1,3,6,At Risk
R_1MR5sQWJc19hOeY,615,5,165.93,1,1,2,4,Lapsed
R_1MRq2bN1HyXAyLJ,1662,3,23.37,1,1,1,3,Lapsed
R_1MSOoW9gkEFmm8j,232,31,841.0600000000001,3,4,4,11,Champions
R_1MSdx5jdOD4hvgV,398,3,46.790000000000006,1,1,1,3,Lapsed
R_1MTbVUzYEQq2MzU,197,42,972.46,3,4,4,11,Champions
R_1MTfhMzI3ijaGhX,503,6,114.35,1,1,1,3,Lapsed
R_1MWGgHMNDdqJb2L,428,8,328.87,1,2,3,6,At Risk
R_1MXNkKRoumaX8uK,290,13,193.51,2,2,2,6,At Risk
R_1MXUL8xOw2LkP30,265,19,319.83,2,3,3,8,Loyal
R_1MY7yxvExjQWTkv,133,23,283.56,4,3,2,9,Loyal
R_1MYWNvd6IFetpta,244,86,766.46,3,4,4,11,Champions
R_1MYdjbgZgAAC4Mx,253,56,495.81,2,4,3,9,Loyal
R_1MYrYnG98fauwrr,279,16,224.61,2,3,2,7,Loyal
R_1N1YOGbiFkuF3OL,135,19,342.8,4,3,3,10,Champions
R_1N2pRfCrIwFtKcN,126,2,27.939999999999998,4,1,1,6,At Risk
R_1N4VduE7gDj7UHY,502,11,219.5,1,2,2,5,At Risk
R_1N5g9DewPFrXN7Z,157,19,488.55,4,3,3,10,Champions
R_1N82O6CJHs0nGOl,609,2,32.95,1,1,1,3,Lapsed
R_1N82p883ADvIocT,219,9,108.00999999999999,3,2,1,6,At Risk
R_1N8EWV0P6ZdrhpK,350,3,67.44,2,1,1,4,Lapsed
R_1N9BtdjOYs5v931,170,19,291.75,4,3,2,9,Loyal
